Trap_Number,Year,Month,Range_Begin,Range_End,Collection_Date,Group,Biomass,Biomass_Total,Percent_Biomass,Individual_Count,Count_Total
15,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Other,0.29,4.22,6.87,98,978
17,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hymenoptera,0.57,5.88,9.69,150,1214
17,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Diptera,4.41,5.88,75,665,1214
17,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Lepidoptera,0.12,5.88,2.04,11,1214
17,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hemiptera,0.13,5.88,2.21,59,1214
17,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Coleoptera,0.29,5.88,4.93,35,1214
17,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Other,0.36,5.88,6.12,294,1214
18,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hymenoptera,1.53,3.6,42.5,1034,2136
18,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Diptera,1.09,3.6,30.28,744,2136
18,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Lepidoptera,0.51,3.6,14.17,59,2136
18,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hemiptera,0.1,3.6,2.78,55,2136
18,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Coleoptera,0.28,3.6,7.78,149,2136
18,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Other,0.09,3.6,2.5,95,2136
19,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hymenoptera,3.69,9.19,40.15,92,559
19,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Diptera,4.27,9.19,46.46,247,559
19,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Lepidoptera,0.39,9.19,4.24,9,559
19,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hemiptera,0.41,9.19,4.46,143,559
19,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Coleoptera,0.22,9.19,2.39,27,559
19,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Other,0.21,9.19,2.29,41,559
20,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hymenoptera,0.42,4.31,9.74,268,2011
20,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Diptera,2.36,4.31,54.76,1152,2011
20,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Lepidoptera,0.18,4.31,4.18,15,2011
20,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Hemiptera,0.12,4.31,2.78,49,2011
20,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Coleoptera,0.91,4.31,21.11,131,2011
20,2021,(May 15 - 28),2021-05-15,2021-05-28,28/05/2021,Other,0.32,4.31,7.42,396,2011
1,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,0.33,1.1,30,52,712
1,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,0.36,1.1,32.73,331,712
1,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.05,1.1,4.55,5,712
1,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.01,1.1,0.91,9,712
1,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.16,1.1,14.55,15,712
1,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.19,1.1,17.27,300,712
4,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,0.3,1.62,18.52,82,814
4,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,0.63,1.62,38.89,485,814
4,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.15,1.62,9.26,12,814
4,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.06,1.62,3.7,48,814
4,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.37,1.62,22.84,69,814
4,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.11,1.62,6.79,118,814
5,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,10.03,20.08,49.95,731,3685
5,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,7.02,20.08,34.96,2268,3685
5,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.87,20.08,4.33,101,3685
5,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.49,20.08,2.44,298,3685
5,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.78,20.08,3.88,51,3685
5,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.89,20.08,4.43,236,3685
6,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,6.77,17.83,37.97,1061,4090
6,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,7.11,17.83,39.88,2328,4090
6,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,1.53,17.83,8.58,37,4090
6,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.47,17.83,2.64,273,4090
6,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,1.08,17.83,6.06,123,4090
6,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.87,17.83,4.88,268,4090
7,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,0.4,1.21,33.06,41,317
7,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,0.19,1.21,15.7,140,317
7,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.18,1.21,14.88,26,317
7,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.06,1.21,4.96,32,317
7,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.21,1.21,17.36,28,317
7,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.17,1.21,14.05,50,317
8,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,2.11,8.96,23.55,154,1279
8,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,3.98,8.96,44.42,923,1279
8,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,1.84,8.96,20.54,18,1279
8,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.09,8.96,1,39,1279
8,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.57,8.96,6.36,84,1279
8,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.37,8.96,4.13,61,1279
9,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,3.12,8.18,38.14,366,1816
9,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,2.49,8.18,30.44,864,1816
9,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.21,8.18,2.57,35,1816
9,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.33,8.18,4.03,97,1816
9,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,1.25,8.18,15.28,99,1816
9,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.78,8.18,9.54,355,1816
11,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,0.08,0.39,20.51,15,342
11,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,0.06,0.39,15.38,74,342
11,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.01,0.39,2.56,2,342
11,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.03,0.39,7.69,13,342
11,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.04,0.39,10.26,4,342
11,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.17,0.39,43.59,234,342
12,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,3.63,6.63,54.75,317,1360
12,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,1.06,6.63,15.99,496,1360
12,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.21,6.63,3.17,28,1360
12,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.28,6.63,4.22,144,1360
12,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.53,6.63,7.99,62,1360
12,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.92,6.63,13.88,313,1360
13,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,2.9,9.68,29.96,648,2058
13,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,3.03,9.68,31.3,723,2058
13,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.17,9.68,1.76,32,2058
13,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.61,9.68,6.3,310,2058
13,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.85,9.68,8.78,55,2058
13,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,2.12,9.68,21.9,290,2058
14,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,2.04,5.89,34.63,291,1203
14,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,1.78,5.89,30.22,541,1203
14,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.46,5.89,7.81,10,1203
14,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.33,5.89,5.6,137,1203
14,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,1.04,5.89,17.66,90,1203
14,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.24,5.89,4.07,134,1203
15,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,5.15,8.21,62.73,225,1250
15,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,1.84,8.21,22.41,648,1250
15,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.01,8.21,0.12,7,1250
15,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.05,8.21,0.61,23,1250
15,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.73,8.21,8.89,72,1250
15,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.43,8.21,5.24,275,1250
17,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,0.72,6.56,10.98,165,1572
17,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,4.54,6.56,69.21,677,1572
17,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.18,6.56,2.74,14,1572
17,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.23,6.56,3.51,86,1572
17,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.34,6.56,5.18,51,1572
17,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.55,6.56,8.38,579,1572
18,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,6.8,16.31,41.69,392,2058
18,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,6.85,16.31,42,1350,2058
18,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,1.54,16.31,9.44,23,2058
18,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.07,16.31,0.43,41,2058
18,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.65,16.31,3.99,86,2058
18,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.4,16.31,2.45,166,2058
19,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,3.49,6.08,57.4,68,350
19,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,1.61,6.08,26.48,93,350
19,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.36,6.08,5.92,18,350
19,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.25,6.08,4.11,62,350
19,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.33,6.08,5.43,26,350
19,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.04,6.08,0.66,83,350
20,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hymenoptera,1.31,5.44,24.08,267,1811
20,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Diptera,2.84,5.44,52.21,956,1811
20,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Lepidoptera,0.27,5.44,4.96,21,1811
20,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Hemiptera,0.28,5.44,5.15,117,1811
20,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Coleoptera,0.48,5.44,8.82,71,1811
20,2021,(May 29 - June 11),2021-05-29,2021-06-11,11/06/2021,Other,0.26,5.44,4.78,379,1811
1,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,0.31,1.42,21.83,112,1335
1,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,0.44,1.42,30.99,564,1335
1,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.02,1.42,1.41,8,1335
1,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.03,1.42,2.11,48,1335
1,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.35,1.42,24.65,27,1335
1,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.27,1.42,19.01,576,1335
2,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,0.71,3.62,19.61,134,819
2,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,1.04,3.62,28.73,449,819
2,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.99,3.62,27.35,38,819
2,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.17,3.62,4.7,47,819
2,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.38,3.62,10.5,35,819
2,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.33,3.62,9.12,116,819
4,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,0.62,3.22,19.25,126,1071
4,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,1.03,3.22,31.99,517,1071
4,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.22,3.22,6.83,20,1071
4,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.11,3.22,3.42,76,1071
4,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,1.08,3.22,33.54,167,1071
4,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.16,3.22,4.97,165,1071
5,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,6.03,18.39,32.79,900,5492
5,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,8,18.39,43.5,3165,5492
5,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.83,18.39,4.51,90,5492
5,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.66,18.39,3.59,276,5492
5,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,2.18,18.39,11.85,446,5492
5,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.69,18.39,3.75,615,5492
6,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,6.31,22.41,28.16,1611,6181
6,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,8.97,22.41,40.03,3803,6181
6,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,4.93,22.41,22,70,6181
6,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.88,22.41,3.93,414,6181
6,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,1.01,22.41,4.51,102,6181
6,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.31,22.41,1.38,181,6181
7,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,0.68,2.13,31.92,76,516
7,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,0.42,2.13,19.72,192,516
7,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.22,2.13,10.33,36,516
7,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.26,2.13,12.21,96,516
7,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.41,2.13,19.25,25,516
7,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.14,2.13,6.57,91,516
8,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,0.67,2.36,28.39,163,812
8,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,0.95,2.36,40.25,441,812
8,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.06,2.36,2.54,6,812
8,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.11,2.36,4.66,77,812
8,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.28,2.36,11.86,63,812
8,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.29,2.36,12.29,62,812
9,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,4.16,13.24,31.42,688,3150
9,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,4.79,13.24,36.18,1488,3150
9,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.87,13.24,6.57,90,3150
9,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.39,13.24,2.95,137,3150
9,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,1.35,13.24,10.2,139,3150
9,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,1.68,13.24,12.69,608,3150
11,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,0.07,1.15,6.09,54,683
11,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,0.7,1.15,60.87,246,683
11,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.01,1.15,0.87,2,683
11,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.14,1.15,12.17,64,683
11,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.05,1.15,4.35,17,683
11,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.18,1.15,15.65,300,683
12,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,2.92,8.84,33.03,549,2112
12,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,1.56,8.84,17.65,715,2112
12,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,1.47,8.84,16.63,59,2112
12,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.42,8.84,4.75,204,2112
12,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.24,8.84,2.71,34,2112
12,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,2.23,8.84,25.23,551,2112
13,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,3.07,13.28,23.12,856,2552
13,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,4.16,13.28,31.33,957,2552
13,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,2.43,13.28,18.3,98,2552
13,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.46,13.28,3.46,159,2552
13,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.82,13.28,6.17,98,2552
13,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,2.34,13.28,17.62,384,2552
14,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,1.57,6.93,22.66,581,2016
14,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,2.84,6.93,40.98,937,2016
14,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.24,6.93,3.46,9,2016
14,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.52,6.93,7.5,207,2016
14,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,1.41,6.93,20.35,71,2016
14,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.35,6.93,5.05,211,2016
15,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,1.44,6.14,23.45,433,2085
15,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,2.66,6.14,43.32,928,2085
15,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.09,6.14,1.47,7,2085
15,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.24,6.14,3.91,112,2085
15,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.94,6.14,15.31,83,2085
15,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.77,6.14,12.54,522,2085
17,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,2.13,10.6,20.09,445,1820
17,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,4.95,10.6,46.7,825,1820
17,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,1.35,10.6,12.74,23,1820
17,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.27,10.6,2.55,125,1820
17,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,1.46,10.6,13.77,67,1820
17,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.44,10.6,4.15,335,1820
18,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,2.99,18.66,16.02,532,2850
18,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,10.74,18.66,57.56,1810,2850
18,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,1.1,18.66,5.89,35,2850
18,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.2,18.66,1.07,103,2850
18,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,1.31,18.66,7.02,184,2850
18,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,2.32,18.66,12.43,186,2850
19,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,3.61,7.87,45.87,86,383
19,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,1.65,7.87,20.97,92,383
19,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,1.61,7.87,20.46,54,383
19,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.26,7.87,3.3,67,383
19,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.52,7.87,6.61,35,383
19,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.22,7.87,2.8,49,383
20,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hymenoptera,2.37,7.63,31.06,525,2313
20,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Diptera,3.21,7.63,42.07,1114,2313
20,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Lepidoptera,0.68,7.63,8.91,43,2313
20,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Hemiptera,0.35,7.63,4.59,165,2313
20,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Coleoptera,0.54,7.63,7.08,81,2313
20,2021,(June 12 - 25),2021-06-12,2021-06-25,25/06/2021,Other,0.48,7.63,6.29,385,2313
1,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Hymenoptera,1.59,4.91,32.38,103,1162
1,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Diptera,0.66,4.91,13.44,616,1162
1,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Lepidoptera,0.62,4.91,12.63,58,1162
1,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Hemiptera,0.09,4.91,1.83,43,1162
1,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Coleoptera,1.67,4.91,34.01,66,1162
1,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Other,0.28,4.91,5.7,276,1162
2,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Hymenoptera,0.58,3.14,18.47,132,1051
2,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Diptera,1.1,3.14,35.03,563,1051
2,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Lepidoptera,0.74,3.14,23.57,79,1051
2,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Hemiptera,0.16,3.14,5.1,36,1051
2,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Coleoptera,0.45,3.14,14.33,123,1051
2,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Other,0.11,3.14,3.5,118,1051
4,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Hymenoptera,0.98,4.52,21.68,149,1469
4,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Diptera,1.66,4.52,36.73,886,1469
4,2021,(June 26 - July 9),2021-06-26,2021-07-09,09/07/2021,Lepidoptera,0.53,4.52,11.73,30,1469
